Function,Mean,Std,Best,Worst,Median,N_runs
F1,42.22385982538996,34.63905900450625,6.486643593367148,145.6648441161392,33.14329167548141,30
F2,5.370733136220074,2.716697282875997,0.20115794575099244,8.916101927781312,4.841318134516371,30
F3,0.0,0.0,0.0,0.0,0.0,30
F4,25.7174521660426,4.480441000614938,18.171413151876095,37.1240255474047,25.464276541839354,30
F5,0.0023370773589893663,0.0030605657788895756,4.836158495891141e-05,0.013792314518923376,0.0010970935816771998,30
F6,6424.275162097908,2236.543400362564,2506.861845301578,10317.176323736086,6506.140313558636,30
F7,1.8020907955487473,2.8198448918768824,0.23255925096464125,15.956972638000025,0.927307416574763,30
F8,17.877587253994534,5.558700147586246,6.049217167048482,25.718286357584475,18.734011489177874,30
F9,265.8974988660752,144.71834669767765,8.61839562422847,361.08751327632126,360.06544204063584,30
F10,2488.78958232867,267.56619490258055,3154.446463334455,1970.6150062578308,2477.2051957459003,30
F11,0.0,0.0,0.0,0.0,0.0,30
F12,51.328054352791774,76.74718261454805,-200.7213417786179,158.19689819222276,74.366272700443,30
